tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,tablescraper-selected-row 5,k-alt,k-alt 2,k-alt 3,k-alt 4,k-alt 5
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110360,300 BLOCK S SAN PEDRO ST,Los Angeles Police,04-11-2023 09:20
THEFT FROM VEHICLE - PETTY ($950 & under),232008145,300 BLOCK S KENMORE AV,Los Angeles Police,04-11-2023 09:00,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),232008073,3400 BLOCK W OLYMPIC BL,Los Angeles Police,04-11-2023 09:00
ROBBERY (taking property of another by means of force or fear),230110364,600 BLOCK S SAN PEDRO ST,Los Angeles Police,04-11-2023 09:00,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),230208854,300 BLOCK N WESTLAKE AV,Los Angeles Police,04-11-2023 08:30
"VEHICLE, STOLEN",230110528,600 BLOCK S SAN PEDRO ST,Los Angeles Police,04-11-2023 08:30,,,,,
,,,,,VEHICLE BURGLARY: Attempt Auto/Passenger Van Burglary,923-04937-0272,"3200 BLK MARENGO ST, LOS ANGELES, CA 90063",Los Angeles Sheriff (unincorp.),04-11-2023 08:11
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),232000688,3400 BLOCK W 3RD ST,Los Angeles Police,04-11-2023 08:00,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230208860,2600 BLOCK  WILSHIRE BL,Los Angeles Police,04-11-2023 07:40
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230309298,1500 BLOCK W 35TH ST,Los Angeles Police,04-11-2023 06:00,,,,,
,,,,,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.",923-00529-5120,"400 BLK BAUCHET ST, LOS ANGELES, CA 90012",Los Angeles Sheriff (unincorp.),04-11-2023 05:30
SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230407288,SENTINEL   &  WABASH,Los Angeles Police,04-11-2023 04:20,,,,,
,,,,,THEFT FROM VEHICLE - GRAND ($950.01 & over),231107732,1400 BLOCK  LOGAN ST,Los Angeles Police,04-11-2023 03:15
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230309198,1100 BLOCK W 28TH ST,Los Angeles Police,04-11-2023 03:00,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,232008137,500 BLOCK S KENMORE AV,Los Angeles Police,04-11-2023 03:00
BURGLARY - ATTEMPTED,232008044,500 BLOCK S ALEXANDRIA AV,Los Angeles Police,04-11-2023 02:39,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),232008045,11TH   &  ELDEN ST,Los Angeles Police,04-11-2023 02:30
"VEHICLE, STOLEN",231309032,31ST ST  &  HILL ST,Los Angeles Police,04-11-2023 02:20,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231309001,50TH ST  &  LONG BEACH AV,Los Angeles Police,04-11-2023 02:00
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110330,200 BLOCK S FIGUEROA ST,Los Angeles Police,04-11-2023 01:15,,,,,
,,,,,"ARSON: Community/Public (Churches, Jails, Schools, Etc)",023-80056-0285,"400 BLK AMALIA AVE, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-11-2023 01:14
ROBBERY (taking property of another by means of force or fear),230110231,5TH ST  &  BROADWAY,Los Angeles Police,04-10-2023 23:54,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230309149,3700 BLOCK S VERMONT AV,Los Angeles Police,04-10-2023 23:50
SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,231209906,400 BLOCK W 45TH ST,Los Angeles Police,04-10-2023 23:00,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110326,5TH   &  SPRING,Los Angeles Police,04-10-2023 23:00
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231309030,WALL ST  &  15TH ST,Los Angeles Police,04-10-2023 22:30,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230309200,2800 BLOCK  MENLO AV,Los Angeles Police,04-10-2023 22:00
BURGLARY FROM VEHICLE,230110365,7TH   &  MAPLE,Los Angeles Police,04-10-2023 22:00,,,,,
,,,,,"VEHICLE, STOLEN",230208847,200 BLOCK  UNION PL,Los Angeles Police,04-10-2023 22:00
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230208820,WILSHIRE   &  ALVARADO,Los Angeles Police,04-10-2023 21:50,,,,,
,,,,,"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",231209920,5200 BLOCK  RUTHELEN ST,Los Angeles Police,04-10-2023 21:50
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230110398,1100 BLOCK S FIGUEROA ST,Los Angeles Police,04-10-2023 21:30,,,,,
,,,,,BURGLARY - ATTEMPTED,232008120,500 BLOCK S KENMORE AV,Los Angeles Police,04-10-2023 21:30
"VEHICLE, STOLEN",230110328,900 BLOCK S FIGUEROA ST,Los Angeles Police,04-10-2023 21:03,,,,,
,,,,,"VEHICLE, STOLEN",230208833,100 BLOCK S LA FAYETTE PARK PL,Los Angeles Police,04-10-2023 21:00
"VEHICLE, STOLEN",230208863,8TH ST  &  ALVARADO,Los Angeles Police,04-10-2023 21:00,,,,,
,,,,,"ROBBERY, WEAPON: Other",923-04927-0271,"1500 BLK FISHBURN AVE, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-10-2023 20:42
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230110404,1100 BLOCK S FIGUEROA ST,Los Angeles Police,04-10-2023 20:30,,,,,
,,,,,"VEHICLE, STOLEN",230110390,1000 BLOCK S FLOWER ST,Los Angeles Police,04-10-2023 20:15
THEFT - PETTY (plain theft-petty) ($950 & under),230708343,400 BLOCK N ROSSMORE AV,Los Angeles Police,04-10-2023 20:15,,,,,
,,,,,"VEHICLE, STOLEN",230708307,4700 BLOCK  ST CHARLES PL,Los Angeles Police,04-10-2023 20:00
THEFT FROM VEHICLE - PETTY ($950 & under),232008029,3900 BLOCK W 7TH ST,Los Angeles Police,04-10-2023 20:00,,,,,
,,,,,"VEHICLE, STOLEN",230309177,3300 BLOCK W ADAMS BL,Los Angeles Police,04-10-2023 20:00
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230708324,7200 BLOCK  MELROSE AV,Los Angeles Police,04-10-2023 19:45,,,,,
,,,,,SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230309146,900 BLOCK W 41ST ST,Los Angeles Police,04-10-2023 19:30
"GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)",923-04920-0293,"4500 BLK WHITTIER BLVD, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-10-2023 19:30,,,,,
,,,,,PICKPOCKET - PICKPURSE (form of grand theft person),230407317,MARENGO   &  KINGSTON,Los Angeles Police,04-10-2023 19:15
GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,923-04934-0285,"5400 BLK PERCY ST, LOS ANGELES, CA",Los Angeles Sheriff (unincorp.),04-10-2023 19:00,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),232008035,7TH ST  &  KINGSLEY AV,Los Angeles Police,04-10-2023 19:00
SHOPLIFTING - PETTY THEFT ($950 & under),231309023,4000 BLOCK S MAIN ST,Los Angeles Police,04-10-2023 18:30,,,,,
,,,,,"VEHICLE, STOLEN",230110316,100 BLOCK W 9TH ST,Los Angeles Police,04-10-2023 18:20
"VEHICLE, STOLEN",230110442,700 BLOCK S GRAND AV,Los Angeles Police,04-10-2023 18:00,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),230708303,200 BLOCK S FORMOSA AV,Los Angeles Police,04-10-2023 17:59
ROBBERY (taking property of another by means of force or fear),230708297,4100 BLOCK W PICO BL,Los Angeles Police,04-10-2023 17:58,,,,,
,,,,,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.",923-00522-5120,"400 BLK BAUCHET ST, LOS ANGELES, CA 90012",Los Angeles Sheriff (unincorp.),04-10-2023 17:16
"VEHICLE, STOLEN",232008023,500 BLOCK N GRAMERCY PL,Los Angeles Police,04-10-2023 17:00,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230309223,3600 BLOCK  WATT WY,Los Angeles Police,04-10-2023 16:30
"VEHICLE, STOLEN",230407290,CAMULOS ST  &  LANFRANCO ST,Los Angeles Police,04-10-2023 16:30,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230309140,2700 BLOCK S FIGUEROA ST,Los Angeles Police,04-10-2023 16:30
BURGLARY FROM VEHICLE,230110400,700 BLOCK S HOPE ST,Los Angeles Police,04-10-2023 16:15,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231308995,54TH ST  &  BROADWAY,Los Angeles Police,04-10-2023 16:00
"VEHICLE, STOLEN",230407289,2800 BLOCK  LANFRANCO ST,Los Angeles Police,04-10-2023 16:00,,,,,
,,,,,BICYCLE - STOLEN,230708365,700 BLOCK N FORMOSA AV,Los Angeles Police,04-10-2023 16:00
SHOPLIFTING - PETTY THEFT ($950 & under),230100643,700 BLOCK S FIGUEROA ST,Los Angeles Police,04-10-2023 15:50,,,,,
,,,,,"RAPE, FORCIBLE (any age, non consensual sexual intercourse)",230507634,SAN PEDRO   &  SAN PEDRO,Los Angeles Police,04-10-2023 15:50
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230110395,500 BLOCK S LOS ANGELES ST,Los Angeles Police,04-10-2023 15:05,,,,,
,,,,,THEFT FROM VEHICLE - GRAND ($950.01 & over),230708309,400 BLOCK S SYCAMORE AV,Los Angeles Police,04-10-2023 15:00
SHOPLIFTING - PETTY THEFT ($950 & under),230309136,900 BLOCK W MARTIN LUTHER KING JR BL,Los Angeles Police,04-10-2023 14:55,,,,,
,,,,,"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",231309051,55TH ST  &  HOLMES AV,Los Angeles Police,04-10-2023 14:30
SHOPLIFTING - PETTY THEFT ($950 & under),231309000,4000 BLOCK S MAIN ST,Los Angeles Police,04-10-2023 14:21,,,,,
,,,,,"ASSAULT, AGGRAVATED: ADW - GUN",023-04909-0278,"1200 BLK S ROWAN AVE, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-10-2023 14:19
THEFT FROM VEHICLE - PETTY ($950 & under),230208962,OLYMPIC   &  LAKE,Los Angeles Police,04-10-2023 14:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230110290,600 BLOCK  SAN JULIAN ST,Los Angeles Police,04-10-2023 14:00
"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230208779,500 BLOCK N BEAUDRY AV,Los Angeles Police,04-10-2023 13:50,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),232008037,HOBART BL  &  3RD ST,Los Angeles Police,04-10-2023 13:50
"THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)",923-04926-0271,"3800 BLK WHITESIDE ST, LOS ANGELES, CA 90063",Los Angeles Sheriff (unincorp.),04-10-2023 13:00,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230309175,3800 BLOCK  NICOLET AV,Los Angeles Police,04-10-2023 13:00
THEFT - PETTY (plain theft-petty) ($950 & under),230708319,5700 BLOCK  WILSHIRE BL,Los Angeles Police,04-10-2023 13:00,,,,,
,,,,,HOMICIDE - CRIMINAL / MURDER,230208813,1200 BLOCK W 8TH ST,Los Angeles Police,04-10-2023 12:49
THEFT - PETTY (plain theft-petty) ($950 & under),230708344,400 BLOCK N ROSSMORE AV,Los Angeles Police,04-10-2023 12:31,,,,,
,,,,,THEFT FROM PERSON,232008066,2800 BLOCK W 6TH ST,Los Angeles Police,04-10-2023 12:30
"ROBBERY, STRONG-ARM: Other",923-04908-0231,"500 BLK S ATLANTIC BLVD, EAST LA CT, CA",Los Angeles Sheriff (unincorp.),04-10-2023 12:15,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),230309152,3300 BLOCK S FIGUEROA ST,Los Angeles Police,04-10-2023 12:00
"VEHICLE, STOLEN",230708299,4500 BLOCK W PICO BL,Los Angeles Police,04-10-2023 12:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),232008012,2100 BLOCK  VENICE BL,Los Angeles Police,04-10-2023 11:45
"ASSAULT, NON-AGG: Obstruct/Resist/Battery Peace Officer",923-00100-4300,"400 BLK BAUCHET ST, LOS ANGELES, CA 90012",Los Angeles Sheriff (unincorp.),04-10-2023 11:27,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),231308962,3200 BLOCK S CENTRAL AV,Los Angeles Police,04-10-2023 10:45
SHOPLIFTING - PETTY THEFT ($950 & under),231308963,3200 BLOCK S CENTRAL AV,Los Angeles Police,04-10-2023 10:40,,,,,
,,,,,"VEHICLE, STOLEN",230309141,1200 BLOCK W JEFFERSON BL,Los Angeles Police,04-10-2023 09:45
THEFT - PETTY (plain theft-petty) ($950 & under),231309062,4000 BLOCK S MAIN ST,Los Angeles Police,04-10-2023 09:15,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),231309049,1300 BLOCK  LAWRENCE ST,Los Angeles Police,04-10-2023 09:00
BURGLARY FROM VEHICLE,231308992,700 BLOCK S ALAMEDA ST,Los Angeles Police,04-10-2023 08:25,,,,,
,,,,,THEFT FROM VEHICLE - GRAND ($950.01 & over),230110347,1300 BLOCK S FLOWER ST,Los Angeles Police,04-10-2023 08:16
BURGLARY - ATTEMPTED,230309128,1400 BLOCK W ADAMS BL,Los Angeles Police,04-10-2023 07:25,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230407285,200 BLOCK N SOTO ST,Los Angeles Police,04-10-2023 07:20
"VEHICLE, STOLEN",232007954,1300 BLOCK S GRAMERCY PL,Los Angeles Police,04-10-2023 06:25,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230208761,1200 BLOCK S ALVARADO ST,Los Angeles Police,04-10-2023 04:40
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230407258,3100 BLOCK E 4TH ST,Los Angeles Police,04-10-2023 03:42,,,,,
,,,,,ROBBERY - ATTEMPTED,230208749,600 BLOCK S ALVARADO ST,Los Angeles Police,04-10-2023 03:30
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230407267,2900 BLOCK E CESAR E CHAVEZ AV,Los Angeles Police,04-10-2023 03:20,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231309008,1700 BLOCK E VERNON AV,Los Angeles Police,04-10-2023 03:20
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231308957,800 BLOCK E 7TH ST,Los Angeles Police,04-10-2023 03:00,,,,,
,,,,,"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230309108,4100 BLOCK S WESTERN AV,Los Angeles Police,04-10-2023 02:45
BURGLARY - ATTEMPTED,232007985,1200 BLOCK S MARIPOSA AV,Los Angeles Police,04-10-2023 02:35,,,,,
,,,,,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,923-04887-0276,"300 BLK N EASTMAN AVE, LOS ANGELES, CA 90063",Los Angeles Sheriff (unincorp.),04-10-2023 02:34
"ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE",023-00765-2767,"4400 BLK SPRINGDALE DR, LOS ANGELES, CA 90043",Los Angeles Sheriff (unincorp.),04-10-2023 02:30,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230208744,6TH ST  &  UNION AV,Los Angeles Police,04-10-2023 02:30
THEFT - PETTY (plain theft-petty) ($950 & under),230110388,500 BLOCK W 7TH ST,Los Angeles Police,04-10-2023 02:20,,,,,
,,,,,"VEHICLE, STOLEN",230407294,1200 BLOCK  GABRIEL GARCIA MARQUEZ ST,Los Angeles Police,04-10-2023 02:00
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230110393,300 BLOCK S HILL ST,Los Angeles Police,04-10-2023 01:09,,,,,
,,,,,"VEHICLE, STOLEN",230110309,1000 BLOCK S FLOWER ST,Los Angeles Police,04-10-2023 01:00
"ASSAULT, AGGRAVATED: DOMESTIC VIOLENCE",023-04885-0287,"6600 BLK FERGUSON DR, COMMERCE, CA 90040",Commerce (Los Angeles Sheriff),04-10-2023 00:54,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,231107670,1600 BLOCK W SUNSET BL,Los Angeles Police,04-10-2023 00:05
"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",231308948,1700 BLOCK E OLYMPIC BL,Los Angeles Police,04-09-2023 23:30,,,,,
,,,,,ARSON,232007962,3300 BLOCK  COUNTRY CLUB DR,Los Angeles Police,04-09-2023 23:20
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230208845,1700 BLOCK W 6TH ST,Los Angeles Police,04-09-2023 23:10,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230208846,1700 BLOCK W 6TH ST,Los Angeles Police,04-09-2023 23:10
THEFT FROM VEHICLE - GRAND ($950.01 & over),230708318,3500 BLOCK W 12TH ST,Los Angeles Police,04-09-2023 23:10,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230309106,3700 BLOCK  CRENSHAW BL,Los Angeles Police,04-09-2023 23:00
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,232007984,400 BLOCK S MARIPOSA AV,Los Angeles Police,04-09-2023 22:45,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),232007960,HARVARD   &  8TH,Los Angeles Police,04-09-2023 22:45
"GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van",923-04884-0294,"5000 BLK WHITTIER BLVD, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-09-2023 22:40,,,,,
,,,,,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.",923-04878-0286,"700 BLK EASTMONT AVE, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-09-2023 22:15
BURGLARY FROM VEHICLE,230407278,2500 BLOCK E CESAR E CHAVEZ AV,Los Angeles Police,04-09-2023 22:00,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230110523,100 BLOCK E WASHINGTON BL,Los Angeles Police,04-09-2023 22:00
"VEHICLE, STOLEN",230309129,ADAMS BL  &  ST ANDREWS BL,Los Angeles Police,04-09-2023 22:00,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230309132,4000 BLOCK  CRENSHAW BL,Los Angeles Police,04-09-2023 22:00
"VEHICLE, STOLEN",232007972,SAN MARINO ST  &  OXFORD AV,Los Angeles Police,04-09-2023 21:30,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230208743,1700 BLOCK S BONNIE BRAE ST,Los Angeles Police,04-09-2023 21:15
THEFT FROM VEHICLE - GRAND ($950.01 & over),230708277,1100 BLOCK S BRONSON AV,Los Angeles Police,04-09-2023 21:00,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,232008072,200 BLOCK S WESTERN AV,Los Angeles Police,04-09-2023 21:00
THEFT FROM VEHICLE - GRAND ($950.01 & over),231309127,2600 BLOCK S CENTRAL AV,Los Angeles Police,04-09-2023 21:00,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),230110394,9TH   &  OLIVE,Los Angeles Police,04-09-2023 20:50
"VEHICLE, STOLEN",232007953,400 BLOCK N ST ANDREWS PL,Los Angeles Police,04-09-2023 20:30,,,,,
,,,,,"ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE",023-04873-0250,"5500 BLK MAYWOOD AVE, MAYWOOD, CA 90270",Maywood (Los Angeles Sheriff),04-09-2023 20:14
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230708261,700 BLOCK S CITRUS AV,Los Angeles Police,04-09-2023 20:04,,,,,
,,,,,BURGLARY FROM VEHICLE,230208902,1600 BLOCK  CORTEZ ST,Los Angeles Police,04-09-2023 20:00
SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230208750,1000 BLOCK W 17TH ST,Los Angeles Police,04-09-2023 19:30,,,,,
,,,,,"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230407237,3500 BLOCK E 4TH ST,Los Angeles Police,04-09-2023 19:30
SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,232007951,2800 BLOCK  LEEWARD AV,Los Angeles Police,04-09-2023 19:30,,,,,
,,,,,"ROBBERY, WEAPON: Store, Business, Hotel, Motel, Etc.",923-04871-0286,"4600 BLK OLYMPIC BLVD, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-09-2023 19:29
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),232007943,5TH ST  &  GRAMERCY PL,Los Angeles Police,04-09-2023 19:00,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110232,7TH   &  GLADYS,Los Angeles Police,04-09-2023 19:00
ROBBERY (taking property of another by means of force or fear),230110220,15TH   &  LOS ANGELES,Los Angeles Police,04-09-2023 19:00,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),232007944,5TH ST  &  GRAMERCY PL,Los Angeles Police,04-09-2023 19:00
"VEHICLE, STOLEN",232007957,100 BLOCK N WILTON PL,Los Angeles Police,04-09-2023 19:00,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),231308978,4000 BLOCK S MAIN ST,Los Angeles Police,04-09-2023 18:45
"VEHICLE, STOLEN",230309133,1100 BLOCK W 29TH ST,Los Angeles Police,04-09-2023 18:30,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110228,800 BLOCK N ALAMEDA ST,Los Angeles Police,04-09-2023 18:00
"THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)",923-04866-0286,"5100 BLK WHITTIER BLVD, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-09-2023 18:00,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230407238,2400 BLOCK  MICHIGAN AV,Los Angeles Police,04-09-2023 18:00
BURGLARY FROM VEHICLE,230708286,4500 BLOCK  LOMITA ST,Los Angeles Police,04-09-2023 18:00,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231209836,500 BLOCK W 53RD ST,Los Angeles Police,04-09-2023 17:40
"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230309107,2000 BLOCK W ADAMS BL,Los Angeles Police,04-09-2023 17:30,,,,,
,,,,,BURGLARY FROM VEHICLE,230407271,900 BLOCK S SOTO ST,Los Angeles Police,04-09-2023 17:00
"VEHICLE, STOLEN",231308998,PALOMA ST  &  27TH ST,Los Angeles Police,04-09-2023 17:00,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),231107664,2200 BLOCK N FIGUEROA ST,Los Angeles Police,04-09-2023 17:00
THEFT FROM VEHICLE - GRAND ($950.01 & over),230407305,100 BLOCK S CLARENCE ST,Los Angeles Police,04-09-2023 17:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),232007942,WILSHIRE BL  &  ARDMORE AV,Los Angeles Police,04-09-2023 16:46
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230208734,100 BLOCK  DOUGLAS ST,Los Angeles Police,04-09-2023 16:30,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230208737,600 BLOCK  BELMONT AV,Los Angeles Police,04-09-2023 16:30
"VEHICLE, STOLEN",230110212,800 BLOCK  FRANCISCO ST,Los Angeles Police,04-09-2023 16:09,,,,,
,,,,,BURGLARY FROM VEHICLE,230110327,1200 BLOCK S HOPE ST,Los Angeles Police,04-09-2023 16:00
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110224,5TH   &  SAN JULIAN,Los Angeles Police,04-09-2023 15:30,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110225,5TH   &  SAN JULIAN,Los Angeles Police,04-09-2023 15:30
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110223,5TH   &  SAN JULIAN,Los Angeles Police,04-09-2023 15:30,,,,,
,,,,,"VEHICLE, STOLEN",230407233,2200 BLOCK  JESSE ST,Los Angeles Police,04-09-2023 15:25
"VEHICLE, STOLEN",230407234,3100 BLOCK  MALABAR ST,Los Angeles Police,04-09-2023 15:25,,,,,
,,,,,BICYCLE - STOLEN,230110349,500 BLOCK W 6TH ST,Los Angeles Police,04-09-2023 15:25
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",231209979,4600 BLOCK S WESTERN AV,Los Angeles Police,04-09-2023 15:20,,,,,
,,,,,SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230208722,900 BLOCK S LAKE ST,Los Angeles Police,04-09-2023 15:00
GRAND THEFT: Auto Parts And Accessories,923-04882-0245,"100 BLK CITADEL DR, COMMERCE, CA",Commerce (Los Angeles Sheriff),04-09-2023 15:00,,,,,
,,,,,"VEHICLE, STOLEN",230309076,30TH   &  BUDLONG,Los Angeles Police,04-09-2023 14:15
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230407247,3400 BLOCK E 4TH ST,Los Angeles Police,04-09-2023 14:00,,,,,
,,,,,BURGLARY FROM VEHICLE,230309301,2600 BLOCK  ORCHARD AV,Los Angeles Police,04-09-2023 14:00
"VEHICLE, STOLEN",231308932,48TH   &  STAUNTON,Los Angeles Police,04-09-2023 13:20,,,,,
,,,,,THEFT FROM VEHICLE - GRAND ($950.01 & over),232007946,1000 BLOCK S WESTMORELAND AV,Los Angeles Police,04-09-2023 13:00
BURGLARY FROM VEHICLE,230309104,3200 BLOCK W 30TH ST,Los Angeles Police,04-09-2023 13:00,,,,,
,,,,,"GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)",923-04853-0294,"5100 BLK WHITTIER BLVD, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-09-2023 12:37
ROBBERY (taking property of another by means of force or fear),230110213,300 BLOCK E 5TH ST,Los Angeles Police,04-09-2023 12:30,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230110218,800 BLOCK  WILSHIRE BL,Los Angeles Police,04-09-2023 12:26
